Cell_ID,Year,Forest_Loss_ha,Forest_Loss_ha
G25_000304,2009,0.0,0.0
G25_000305,2009,0.0,0.0
G25_000306,2009,0.0,0.0
G25_000307,2009,0.0,0.0
G25_000308,2009,0.0,0.0
G25_000309,2009,0.0,0.0
G25_000310,2009,0.0,0.0
G25_000311,2009,0.0,0.0
G25_000312,2009,0.0,0.0
G25_000313,2009,0.0,0.0
G25_000314,2009,0.0,0.0
G25_000315,2009,0.0,0.0
G25_000316,2009,0.0,0.0
G25_000317,2009,0.0,0.0
G25_000318,2009,0.0,0.0
G25_000319,2009,0.0,0.0
G25_000320,2009,0.0,0.0
G25_000321,2009,0.0,0.0
G25_000322,2009,0.0,0.0
G25_000323,2009,0.0,0.0
G25_000324,2009,0.0,0.0
G25_000325,2009,0.0,0.0
G25_000326,2009,0.0,0.0
G25_000327,2009,0.0,0.0
G25_000328,2009,0.0,0.0
G25_000329,2009,0.0,0.0
G25_000330,2009,0.0,0.0
G25_000331,2009,0.0,0.0
G25_000332,2009,0.0,0.0
G25_000333,2009,0.0,0.0
G25_000334,2009,0.0,0.0
G25_000335,2009,0.0,0.0
G25_000336,2009,0.0,0.0
G25_000337,2009,0.0,0.0
G25_000338,2009,0.0,0.0
G25_000339,2009,0.0,0.0
G25_000340,2009,0.0,0.0
G25_000341,2009,0.0,0.0
G25_000342,2009,0.0,0.0
G25_000343,2009,0.0,0.0
G25_000344,2009,0.0,0.0
G25_000345,2009,0.0,0.0
G25_000346,2009,0.0,0.0
G25_000347,2009,0.0,0.0
G25_000348,2009,0.0,0.0
G25_000349,2009,0.0,0.0
G25_000350,2009,0.0,0.0
G25_000351,2009,0.0,0.0
G25_000352,2009,0.0,0.0
G25_000353,2009,0.0,0.0
G25_000354,2009,0.0,0.0
G25_000355,2009,0.0,0.0
G25_000356,2009,0.0,0.0
G25_000357,2009,0.0,0.0
G25_000358,2009,0.0,0.0
G25_000359,2009,0.0,0.0
G25_000360,2009,0.0,0.0
G25_000361,2009,0.0,0.0
G25_000362,2009,0.0,0.0
G25_000363,2009,0.0,0.0
G25_000364,2009,0.0,0.0
G25_000365,2009,0.0,0.0
G25_000366,2009,0.0,0.0
G25_000367,2009,0.0,0.0
G25_000368,2009,0.0,0.0
G25_000369,2009,0.0,0.0
G25_000370,2009,0.0,0.0
G25_000371,2009,0.0,0.0
G25_000372,2009,0.0,0.0
G25_000373,2009,0.0,0.0
G25_000374,2009,0.0,0.0
G25_000375,2009,0.0,0.0
G25_000376,2009,0.0,0.0
G25_000377,2009,0.0,0.0
G25_000378,2009,0.0,0.0
G25_000379,2009,0.0,0.0
G25_000380,2009,0.0,0.0
G25_000381,2009,0.0,0.0
G25_000382,2009,0.0,0.0
G25_000383,2009,0.0,0.0
G25_000384,2009,0.0,0.0
G25_000385,2009,0.0,0.0
G25_000386,2009,0.0,0.0
G25_000387,2009,0.0,0.0
G25_000388,2009,0.0,0.0
G25_000389,2009,0.0,0.0
G25_000390,2009,0.0,0.0
G25_000391,2009,0.0,0.0
G25_000392,2009,0.0,0.0
G25_000393,2009,0.0,0.0
G25_000394,2009,0.0,0.0
G25_000395,2009,0.0,0.0
G25_000396,2009,0.0,0.0
G25_000397,2009,0.0,0.0
G25_000398,2009,0.0,0.0
G25_000399,2009,0.0,0.0
G25_000400,2009,0.0,0.0
G25_000401,2009,0.0,0.0
G25_000402,2009,0.0,0.0
G25_000403,2009,0.0,0.0
G25_000404,2009,0.0,0.0
G25_000405,2009,0.0,0.0
G25_000406,2009,0.0,0.0
G25_000407,2009,0.0,0.0
G25_000408,2009,0.0,0.0
G25_000409,2009,0.0,0.0
G25_000410,2009,0.0,0.0
G25_000411,2009,0.0,0.0
G25_000412,2009,0.0,0.0
G25_000413,2009,0.0,0.0
G25_000414,2009,0.0,0.0
G25_000415,2009,0.0,0.0
G25_000416,2009,0.0,0.0
G25_000417,2009,0.0,0.0
G25_000418,2009,0.0,0.0
G25_000419,2009,0.0,0.0
G25_000420,2009,0.0,0.0
G25_000421,2009,0.0,0.0
G25_000422,2009,0.0,0.0
G25_000423,2009,0.0,0.0
G25_000424,2009,0.0,0.0
G25_000425,2009,0.0,0.0
G25_000426,2009,0.0,0.0
G25_000427,2009,0.0,0.0
G25_000428,2009,0.0,0.0
G25_000429,2009,0.0,0.0
G25_000430,2009,0.0,0.0
G25_000431,2009,0.0,0.0
G25_000432,2009,0.0,0.0
G25_000433,2009,0.0,0.0
G25_000434,2009,0.0,0.0
G25_000435,2009,0.0,0.0
G25_000436,2009,0.0,0.0
G25_000437,2009,0.0,0.0
G25_000438,2009,0.0,0.0
G25_000439,2009,0.0,0.0
G25_000440,2009,0.0,0.0
G25_000441,2009,0.0,0.0
G25_000442,2009,0.0,0.0
G25_000443,2009,0.0,0.0
G25_000444,2009,0.0,0.0
G25_000445,2009,0.0,0.0
G25_000446,2009,0.0,0.0
G25_000447,2009,0.0,0.0
G25_000448,2009,0.0,0.0
G25_000449,2009,0.0,0.0
G25_000450,2009,0.0,0.0
G25_000451,2009,0.0,0.0
G25_000452,2009,0.0,0.0
G25_000453,2009,0.0,0.0
G25_000454,2009,0.0,0.0
G25_000455,2009,0.0,0.0
G25_000456,2009,0.0,0.0
G25_000457,2009,0.0,0.0
G25_000458,2009,0.0,0.0
G25_000459,2009,0.0,0.0
G25_000460,2009,0.0,0.0
G25_000461,2009,0.0,0.0
G25_000462,2009,0.0,0.0
G25_000463,2009,0.0,0.0
G25_000464,2009,0.0,0.0
G25_000465,2009,0.0,0.0
G25_000466,2009,0.0,0.0
G25_000467,2009,0.0,0.0
G25_000468,2009,0.0,0.0
G25_000469,2009,0.0,0.0
G25_000470,2009,0.0,0.0
G25_000471,2009,0.0,0.0
G25_000472,2009,0.0,0.0
G25_000473,2009,0.0,0.0
G25_000474,2009,0.0,0.0
G25_000475,2009,0.0,0.0
G25_000476,2009,0.0,0.0
G25_000477,2009,0.0,0.0
G25_000478,2009,0.0,0.0
G25_000479,2009,0.0,0.0
G25_000480,2009,0.0,0.0
G25_000481,2009,0.0,0.0
G25_000482,2009,0.0,0.0
G25_000483,2009,0.0,0.0
G25_000484,2009,0.0,0.0
G25_000485,2009,0.0,0.0
G25_000486,2009,0.0,0.0
G25_000487,2009,0.0,0.0
G25_000488,2009,0.0,0.0
G25_000489,2009,0.0,0.0
G25_000490,2009,0.0,0.0
G25_000491,2009,0.0,0.0
G25_000492,2009,0.0,0.0
G25_000493,2009,0.0,0.0
G25_000494,2009,0.0,0.0
G25_000495,2009,0.0,0.0
G25_000496,2009,0.0,0.0
G25_000497,2009,0.0,0.0
G25_000498,2009,0.0,0.0
G25_000499,2009,0.0,0.0
G25_000500,2009,0.0,0.0
G25_000501,2009,0.0,0.0
G25_000502,2009,0.0,0.0
G25_000503,2009,0.0,0.0
G25_000504,2009,0.0,0.0
G25_000505,2009,0.0,0.0
G25_000506,2009,0.0,0.0
G25_000507,2009,0.0,0.0
G25_000508,2009,0.0,0.0
G25_000509,2009,0.0,0.0
G25_000510,2009,0.0,0.0
G25_000511,2009,0.0,0.0
G25_000512,2009,0.0,0.0
G25_000513,2009,0.0,0.0
G25_000514,2009,0.0,0.0
G25_000515,2009,0.0,0.0
G25_000516,2009,0.0,0.0
G25_000517,2009,0.0,0.0
G25_000518,2009,0.0,0.0
G25_000519,2009,0.0,0.0
G25_000520,2009,0.0,0.0
G25_000521,2009,0.0,0.0
