Cell_ID,Year,Baseline_Forest_ha
G25_000556,2000,0.0
G25_000557,2000,0.0
G25_000558,2000,0.0
G25_000559,2000,0.0
G25_000560,2000,0.0
G25_000561,2000,0.0
G25_000562,2000,0.0
G25_000563,2000,0.0
G25_000564,2000,0.0
G25_000565,2000,0.0
G25_000566,2000,0.0
G25_000567,2000,0.0
G25_000568,2000,0.0
G25_000569,2000,0.0
G25_000570,2000,0.0
G25_000571,2000,0.0
G25_000572,2000,0.0725867797851562
G25_000573,2000,0.0
G25_000574,2000,0.4353402099609375
G25_000575,2000,0.3194427601294424
G25_000576,2000,3.045495404052735
G25_000577,2000,0.0315504598460478
G25_000578,2000,0.7059781585813036
G25_000579,2000,0.1449201416015625
G25_000580,2000,0.0
G25_000581,2000,0.0
G25_000582,2000,0.0
G25_000583,2000,0.0
G25_000584,2000,0.0723410461425781
G25_000585,2000,0.0723341552734375
G25_000586,2000,3.1093656249999984
G25_000587,2000,0.0
G25_000588,2000,0.0
G25_000589,2000,0.0
G25_000590,2000,0.072217822265625
G25_000591,2000,3.4049230071423104
G25_000592,2000,0.0
G25_000593,2000,0.0
G25_000594,2000,0.0
G25_000595,2000,0.0
G25_000596,2000,0.0
G25_000597,2000,0.0
G25_000598,2000,0.0
G25_000599,2000,0.0
G25_000600,2000,0.0
G25_000601,2000,51.49419783329984
G25_000602,2000,115.93656239178884
G25_000603,2000,222.1601110195992
G25_000604,2000,74.56197258683724
G25_000605,2000,16.501272498396332
G25_000606,2000,0.0
G25_000607,2000,0.0
G25_000608,2000,4.912806379514207
G25_000609,2000,22.356000083773715
G25_000610,2000,0.583323388671875
G25_000611,2000,0.0
G25_000612,2000,0.792388602630017
G25_000613,2000,3.5792180624090446
G25_000614,2000,0.0
G25_000615,2000,0.0
G25_000616,2000,0.0728036743164062
G25_000617,2000,0.4366095764160156
G25_000618,2000,0.9458615844726564
G25_000619,2000,0.0
G25_000620,2000,0.0
G25_000621,2000,0.3634879028320312
G25_000622,2000,0.1453515258789062
G25_000623,2000,0.0
G25_000624,2000,0.0
G25_000625,2000,0.0
G25_000626,2000,0.0
G25_000627,2000,0.0
G25_000628,2000,0.0
G25_000629,2000,0.0
G25_000630,2000,3.915282635498047
G25_000631,2000,13.042318279789937
G25_000632,2000,0.7270750536391315
G25_000633,2000,0.0
G25_000634,2000,0.0
G25_000635,2000,0.0
G25_000636,2000,0.0
G25_000637,2000,0.0
G25_000638,2000,0.0
G25_000639,2000,0.0
