Cell_ID,Year,Forest_Loss_ha
G25_000436,2004,0.0
G25_000437,2004,0.0
G25_000438,2004,0.0
G25_000439,2004,0.0
G25_000440,2004,0.0
G25_000441,2004,0.0
G25_000442,2004,0.0
G25_000443,2004,0.0
G25_000444,2004,0.0
G25_000445,2004,0.0
G25_000446,2004,0.0
G25_000447,2004,0.0
G25_000448,2004,0.0
G25_000449,2004,0.0
G25_000450,2004,0.0
G25_000451,2004,0.0
G25_000452,2004,0.0
G25_000453,2004,0.0
G25_000454,2004,0.0
G25_000455,2004,0.0
G25_000456,2004,0.0
G25_000457,2004,0.0
G25_000458,2004,0.0
G25_000459,2004,0.0
G25_000460,2004,0.0
G25_000461,2004,0.0
G25_000462,2004,0.0
G25_000463,2004,0.0
G25_000464,2004,0.0
G25_000465,2004,0.0
G25_000466,2004,0.0
G25_000467,2004,0.0
G25_000468,2004,0.0
G25_000469,2004,0.0
G25_000470,2004,0.0
G25_000471,2004,0.0
G25_000472,2004,0.0
G25_000473,2004,0.0
G25_000474,2004,0.0
G25_000475,2004,0.0
G25_000476,2004,0.0
G25_000477,2004,0.0
G25_000478,2004,0.0
G25_000479,2004,0.0
G25_000480,2004,0.0
G25_000481,2004,0.0
G25_000482,2004,0.0
G25_000483,2004,0.0
G25_000484,2004,0.0
G25_000485,2004,0.0
G25_000486,2004,0.0
G25_000487,2004,0.0
G25_000488,2004,0.0
G25_000489,2004,0.0
G25_000490,2004,0.0
G25_000491,2004,0.0
G25_000492,2004,0.0
G25_000493,2004,0.0
G25_000494,2004,0.0
G25_000495,2004,0.0
G25_000496,2004,0.0
G25_000497,2004,0.0
G25_000498,2004,0.0
G25_000499,2004,0.0
G25_000500,2004,0.0
G25_000501,2004,0.0
G25_000502,2004,0.0
G25_000503,2004,0.0
G25_000504,2004,0.0
G25_000505,2004,0.0
G25_000506,2004,0.0
G25_000507,2004,0.0
G25_000508,2004,0.0
G25_000509,2004,0.0
G25_000510,2004,0.0
G25_000511,2004,0.0
G25_000512,2004,0.0
G25_000513,2004,0.0
G25_000514,2004,0.0
G25_000515,2004,0.0
G25_000516,2004,0.0
G25_000517,2004,0.0
G25_000518,2004,0.0
G25_000519,2004,0.0
G25_000520,2004,0.0
G25_000521,2004,0.0
G25_000522,2004,0.0
G25_000523,2004,0.0
G25_000524,2004,0.0
G25_000525,2004,0.0
G25_000526,2004,0.0
G25_000527,2004,0.0
G25_000528,2004,0.0
G25_000529,2004,0.0
G25_000530,2004,0.0
G25_000531,2004,0.0
G25_000532,2004,0.0
G25_000533,2004,0.0
G25_000534,2004,0.0
G25_000535,2004,0.0
G25_000536,2004,0.0
G25_000537,2004,0.0
G25_000538,2004,0.0
G25_000539,2004,0.0
G25_000540,2004,0.0
G25_000541,2004,0.0
G25_000542,2004,0.0
G25_000543,2004,0.0
G25_000544,2004,0.0
G25_000545,2004,0.0
G25_000546,2004,0.0
G25_000547,2004,0.0
G25_000548,2004,0.0
G25_000549,2004,0.0
G25_000550,2004,0.0
G25_000551,2004,0.0
G25_000552,2004,0.0
G25_000553,2004,0.0
G25_000554,2004,0.0
G25_000555,2004,0.0
G25_000556,2004,0.0
G25_000557,2004,0.0
G25_000558,2004,0.0
G25_000559,2004,0.0
G25_000560,2004,0.0
G25_000561,2004,0.0
G25_000562,2004,0.0
G25_000563,2004,0.0
G25_000564,2004,0.0
G25_000565,2004,0.0
G25_000566,2004,0.0
G25_000567,2004,0.0
G25_000568,2004,0.0
G25_000569,2004,0.0
G25_000570,2004,0.0
G25_000571,2004,0.0
G25_000572,2004,0.0
G25_000573,2004,0.0
G25_000574,2004,0.0
G25_000575,2004,0.0
G25_000576,2004,0.0
G25_000577,2004,0.0
G25_000578,2004,0.0
G25_000579,2004,0.0
G25_000580,2004,0.0
G25_000581,2004,0.0
G25_000582,2004,0.0
G25_000583,2004,0.0
G25_000584,2004,0.0
G25_000585,2004,0.0
G25_000586,2004,0.0
G25_000587,2004,0.0
G25_000588,2004,0.0
G25_000589,2004,0.0
G25_000590,2004,0.0
G25_000591,2004,0.0
G25_000592,2004,0.0
G25_000593,2004,0.0
G25_000594,2004,0.0
G25_000595,2004,0.0
G25_000596,2004,0.0
G25_000597,2004,0.0
G25_000598,2004,0.0
G25_000599,2004,0.0
G25_000600,2004,0.0
G25_000601,2004,0.0
G25_000602,2004,0.0
G25_000603,2004,0.0
G25_000604,2004,0.0
G25_000605,2004,0.0
G25_000606,2004,0.0
G25_000607,2004,0.0
G25_000608,2004,0.0
G25_000609,2004,0.0
G25_000610,2004,0.0
G25_000611,2004,0.0
G25_000612,2004,0.0
G25_000613,2004,0.0
G25_000614,2004,0.0
G25_000615,2004,0.0
G25_000616,2004,0.0
G25_000617,2004,0.0
G25_000618,2004,0.0
G25_000619,2004,0.0
G25_000620,2004,0.0
G25_000621,2004,0.0
G25_000622,2004,0.0
G25_000623,2004,0.0
G25_000624,2004,0.0
G25_000625,2004,0.0
G25_000626,2004,0.0
G25_000627,2004,0.0
G25_000628,2004,0.0
G25_000629,2004,0.0
G25_000630,2004,0.0
G25_000631,2004,0.0
G25_000632,2004,0.0
G25_000633,2004,0.0
G25_000634,2004,0.0
G25_000635,2004,0.0
G25_000636,2004,0.0
G25_000637,2004,0.0
G25_000638,2004,0.0
G25_000639,2004,0.0
G25_000640,2004,0.0
G25_000641,2004,0.0
G25_000642,2004,0.0
G25_000643,2004,0.0
G25_000644,2004,0.0
G25_000645,2004,0.0
G25_000646,2004,0.0
G25_000647,2004,0.0
G25_000648,2004,0.0
G25_000649,2004,0.0
G25_000650,2004,0.0
G25_000651,2004,0.0
G25_000652,2004,0.0
G25_000653,2004,0.0
G25_000654,2004,0.0
G25_000655,2004,0.0
G25_000656,2004,0.0
G25_000657,2004,0.0
G25_000658,2004,0.0
G25_000659,2004,0.0
G25_000660,2004,0.0
G25_000661,2004,0.0
G25_000662,2004,0.0
G25_000663,2004,0.0
G25_000664,2004,0.0
G25_000665,2004,0.0
G25_000666,2004,0.0
G25_000667,2004,0.0
G25_000668,2004,0.0
G25_000669,2004,0.0
G25_000670,2004,0.0
G25_000671,2004,0.0
G25_000672,2004,0.0
G25_000673,2004,0.0
G25_000674,2004,0.0
G25_000675,2004,0.0
G25_000676,2004,0.0
G25_000677,2004,0.0
G25_000678,2004,0.0
G25_000679,2004,0.0
G25_000680,2004,0.0
G25_000681,2004,0.0
G25_000682,2004,0.0
G25_000683,2004,0.0
G25_000684,2004,0.0
G25_000685,2004,0.0
G25_000686,2004,0.0
G25_000687,2004,0.0
G25_000688,2004,0.0
G25_000689,2004,0.0
G25_000690,2004,0.0
G25_000691,2004,0.0
G25_000692,2004,0.0
G25_000693,2004,0.0
G25_000694,2004,0.0
G25_000695,2004,0.0
G25_000696,2004,0.0
G25_000697,2004,0.0
G25_000698,2004,0.0
G25_000699,2004,0.0
G25_000700,2004,0.0
G25_000701,2004,0.0
G25_000702,2004,0.0
G25_000703,2004,0.0
G25_000704,2004,0.0
G25_000705,2004,0.0
G25_000706,2004,0.0
G25_000707,2004,0.0
G25_000708,2004,0.0
G25_000709,2004,0.0
G25_000710,2004,0.0
G25_000711,2004,0.0
G25_000712,2004,0.0
G25_000713,2004,0.0
G25_000714,2004,0.0
G25_000715,2004,0.0
G25_000716,2004,0.0
G25_000717,2004,0.0
G25_000718,2004,0.0
G25_000719,2004,0.0
G25_000720,2004,0.0
G25_000721,2004,0.0
G25_000722,2004,0.0
G25_000723,2004,0.0
G25_000724,2004,0.0
G25_000725,2004,0.0
G25_000726,2004,0.0
G25_000727,2004,0.0
G25_000728,2004,0.0
G25_000729,2004,0.0
G25_000730,2004,0.0
G25_000731,2004,0.0
G25_000732,2004,0.0
G25_000733,2004,0.0
G25_000734,2004,0.0
G25_000735,2004,0.0
G25_000736,2004,0.0
G25_000737,2004,0.0
G25_000738,2004,0.0
G25_000739,2004,0.0
G25_000740,2004,0.0
G25_000741,2004,0.0
G25_000742,2004,0.0
G25_000743,2004,0.0
G25_000744,2004,0.1479009155273437
G25_000745,2004,0.0
G25_000746,2004,0.0
G25_000747,2004,0.0
G25_000748,2004,0.0
G25_000749,2004,0.0
G25_000750,2004,0.0
G25_000751,2004,0.0
G25_000752,2004,0.0
G25_000753,2004,0.0
G25_000754,2004,0.0
G25_000755,2004,0.0
G25_000756,2004,0.0
G25_000757,2004,0.0
G25_000758,2004,0.0
G25_000759,2004,0.0
G25_000760,2004,0.0
G25_000761,2004,0.0
G25_000762,2004,0.0
G25_000763,2004,0.0
G25_000764,2004,0.0
G25_000765,2004,0.0
G25_000766,2004,0.0
G25_000767,2004,0.0
G25_000768,2004,0.0
G25_000769,2004,0.0
G25_000770,2004,0.0
G25_000771,2004,0.0
G25_000772,2004,0.0
G25_000773,2004,0.0
G25_000774,2004,0.0
G25_000775,2004,0.0
G25_000776,2004,0.0
G25_000777,2004,0.0
G25_000778,2004,0.0
G25_000779,2004,0.0
G25_000780,2004,0.0
G25_000781,2004,0.0
G25_000782,2004,0.0
G25_000783,2004,0.0
G25_000784,2004,0.0
G25_000785,2004,0.0
G25_000786,2004,0.0
G25_000787,2004,0.0
G25_000788,2004,0.0
G25_000789,2004,0.0
G25_000790,2004,0.0
G25_000791,2004,0.0
G25_000792,2004,0.0
G25_000793,2004,0.0
G25_000794,2004,0.0
G25_000795,2004,0.0
G25_000796,2004,0.0
G25_000797,2004,0.0
G25_000798,2004,0.0
G25_000799,2004,0.0
G25_000800,2004,0.0
G25_000801,2004,0.0
G25_000802,2004,0.0
G25_000803,2004,0.0
G25_000804,2004,0.0
G25_000805,2004,0.0
G25_000806,2004,0.0
G25_000807,2004,0.0
G25_000808,2004,0.0
G25_000809,2004,0.0
G25_000810,2004,0.0
G25_000811,2004,0.0
G25_000812,2004,0.0
G25_000813,2004,0.0
G25_000814,2004,0.0
G25_000815,2004,0.0
G25_000816,2004,0.0
G25_000817,2004,0.1485839721679687
G25_000818,2004,0.0
G25_000819,2004,0.0
G25_000820,2004,0.0
G25_000821,2004,0.0
G25_000822,2004,0.0
G25_000823,2004,0.0
G25_000824,2004,0.0
G25_000825,2004,0.0
G25_000826,2004,0.0
G25_000827,2004,0.0
G25_000828,2004,0.0740821044921875
G25_000829,2004,0.0
G25_000830,2004,0.0
G25_000831,2004,0.0
G25_000832,2004,0.0
G25_000833,2004,0.0
G25_000834,2004,0.1478985717773437
G25_000835,2004,0.4436660827636719
G25_000836,2004,0.0
G25_000837,2004,0.0
G25_000838,2004,0.0
G25_000839,2004,0.0
G25_000840,2004,0.0
